"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
-9,126761196;-8,883906568;-11,054585497;-13,415635964;-16,001498933;-16,966918828;-17,944945265;-17,316898948;-16,516985491;-15,775785263;-15,95168428
-11,528051675;-9,126761196;-8,883906568;-11,054585497;-13,415635964;-16,001498933;-16,966918828;-17,944945265;-17,316898948;-16,516985491;-15,775785263
-12,000071957;-11,528051675;-9,126761196;-8,883906568;-11,054585497;-13,415635964;-16,001498933;-16,966918828;-17,944945265;-17,316898948;-16,516985491
-12,152826663;-12,000071957;-11,528051675;-9,126761196;-8,883906568;-11,054585497;-13,415635964;-16,001498933;-16,966918828;-17,944945265;-17,316898948
-11,233589805;-12,152826663;-12,000071957;-11,528051675;-9,126761196;-8,883906568;-11,054585497;-13,415635964;-16,001498933;-16,966918828;-17,944945265
-11,380994144;-11,233589805;-12,152826663;-12,000071957;-11,528051675;-9,126761196;-8,883906568;-11,054585497;-13,415635964;-16,001498933;-16,966918828
-7,303980958;-11,380994144;-11,233589805;-12,152826663;-12,000071957;-11,528051675;-9,126761196;-8,883906568;-11,054585497;-13,415635964;-16,001498933
-1,219872219;-7,303980958;-11,380994144;-11,233589805;-12,152826663;-12,000071957;-11,528051675;-9,126761196;-8,883906568;-11,054585497;-13,415635964
2,793349375;-1,219872219;-7,303980958;-11,380994144;-11,233589805;-12,152826663;-12,000071957;-11,528051675;-9,126761196;-8,883906568;-11,054585497
6,146635707;2,793349375;-1,219872219;-7,303980958;-11,380994144;-11,233589805;-12,152826663;-12,000071957;-11,528051675;-9,126761196;-8,883906568
8,155501202;6,146635707;2,793349375;-1,219872219;-7,303980958;-11,380994144;-11,233589805;-12,152826663;-12,000071957;-11,528051675;-9,126761196
9,038186961;8,155501202;6,146635707;2,793349375;-1,219872219;-7,303980958;-11,380994144;-11,233589805;-12,152826663;-12,000071957;-11,528051675
9,090437258;9,038186961;8,155501202;6,146635707;2,793349375;-1,219872219;-7,303980958;-11,380994144;-11,233589805;-12,152826663;-12,000071957
7,603206765;9,090437258;9,038186961;8,155501202;6,146635707;2,793349375;-1,219872219;-7,303980958;-11,380994144;-11,233589805;-12,152826663
6,754500963;7,603206765;9,090437258;9,038186961;8,155501202;6,146635707;2,793349375;-1,219872219;-7,303980958;-11,380994144;-11,233589805
5,402580423;6,754500963;7,603206765;9,090437258;9,038186961;8,155501202;6,146635707;2,793349375;-1,219872219;-7,303980958;-11,380994144
4,61131376;5,402580423;6,754500963;7,603206765;9,090437258;9,038186961;8,155501202;6,146635707;2,793349375;-1,219872219;-7,303980958
5,888074012;4,61131376;5,402580423;6,754500963;7,603206765;9,090437258;9,038186961;8,155501202;6,146635707;2,793349375;-1,219872219
6,130600082;5,888074012;4,61131376;5,402580423;6,754500963;7,603206765;9,090437258;9,038186961;8,155501202;6,146635707;2,793349375
