"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
-0,262;-0,742;-0,628;-0,526;-0,529;-0,243;-0,222;-0,186;-0,522;0,089;0,642;0,463
-0,345;-0,262;-0,742;-0,628;-0,526;-0,529;-0,243;-0,222;-0,186;-0,522;0,089;0,642
-0,439;-0,345;-0,262;-0,742;-0,628;-0,526;-0,529;-0,243;-0,222;-0,186;-0,522;0,089
-0,237;-0,439;-0,345;-0,262;-0,742;-0,628;-0,526;-0,529;-0,243;-0,222;-0,186;-0,522
-0,024;-0,237;-0,439;-0,345;-0,262;-0,742;-0,628;-0,526;-0,529;-0,243;-0,222;-0,186
0,184;-0,024;-0,237;-0,439;-0,345;-0,262;-0,742;-0,628;-0,526;-0,529;-0,243;-0,222
-0,372;0,184;-0,024;-0,237;-0,439;-0,345;-0,262;-0,742;-0,628;-0,526;-0,529;-0,243
-0,155;-0,372;0,184;-0,024;-0,237;-0,439;-0,345;-0,262;-0,742;-0,628;-0,526;-0,529
-0,147;-0,155;-0,372;0,184;-0,024;-0,237;-0,439;-0,345;-0,262;-0,742;-0,628;-0,526
-0,359;-0,147;-0,155;-0,372;0,184;-0,024;-0,237;-0,439;-0,345;-0,262;-0,742;-0,628
-0,074;-0,359;-0,147;-0,155;-0,372;0,184;-0,024;-0,237;-0,439;-0,345;-0,262;-0,742
-0,347;-0,074;-0,359;-0,147;-0,155;-0,372;0,184;-0,024;-0,237;-0,439;-0,345;-0,262
-0,484;-0,347;-0,074;-0,359;-0,147;-0,155;-0,372;0,184;-0,024;-0,237;-0,439;-0,345
-0,276;-0,484;-0,347;-0,074;-0,359;-0,147;-0,155;-0,372;0,184;-0,024;-0,237;-0,439
-0,243;-0,276;-0,484;-0,347;-0,074;-0,359;-0,147;-0,155;-0,372;0,184;-0,024;-0,237
-0,131;-0,243;-0,276;-0,484;-0,347;-0,074;-0,359;-0,147;-0,155;-0,372;0,184;-0,024
-0,063;-0,131;-0,243;-0,276;-0,484;-0,347;-0,074;-0,359;-0,147;-0,155;-0,372;0,184
0,108;-0,063;-0,131;-0,243;-0,276;-0,484;-0,347;-0,074;-0,359;-0,147;-0,155;-0,372
0,002;0,108;-0,063;-0,131;-0,243;-0,276;-0,484;-0,347;-0,074;-0,359;-0,147;-0,155
