"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
-1,979819086;-3,524113825;-3,42647577;-1,934788789;-0,869730138;0,89564679;1,759023355;3,065642729;4,000286842;4,890936011;5,65281462
-1,633166069;-1,979819086;-3,524113825;-3,42647577;-1,934788789;-0,869730138;0,89564679;1,759023355;3,065642729;4,000286842;4,890936011
-0,09780721;-1,633166069;-1,979819086;-3,524113825;-3,42647577;-1,934788789;-0,869730138;0,89564679;1,759023355;3,065642729;4,000286842
0,135153378;-0,09780721;-1,633166069;-1,979819086;-3,524113825;-3,42647577;-1,934788789;-0,869730138;0,89564679;1,759023355;3,065642729
0,547729394;0,135153378;-0,09780721;-1,633166069;-1,979819086;-3,524113825;-3,42647577;-1,934788789;-0,869730138;0,89564679;1,759023355
1,772221084;0,547729394;0,135153378;-0,09780721;-1,633166069;-1,979819086;-3,524113825;-3,42647577;-1,934788789;-0,869730138;0,89564679
2,490995385;1,772221084;0,547729394;0,135153378;-0,09780721;-1,633166069;-1,979819086;-3,524113825;-3,42647577;-1,934788789;-0,869730138
3,226827104;2,490995385;1,772221084;0,547729394;0,135153378;-0,09780721;-1,633166069;-1,979819086;-3,524113825;-3,42647577;-1,934788789
4,446160614;3,226827104;2,490995385;1,772221084;0,547729394;0,135153378;-0,09780721;-1,633166069;-1,979819086;-3,524113825;-3,42647577
4,735213348;4,446160614;3,226827104;2,490995385;1,772221084;0,547729394;0,135153378;-0,09780721;-1,633166069;-1,979819086;-3,524113825
5,306834699;4,735213348;4,446160614;3,226827104;2,490995385;1,772221084;0,547729394;0,135153378;-0,09780721;-1,633166069;-1,979819086
5,961016907;5,306834699;4,735213348;4,446160614;3,226827104;2,490995385;1,772221084;0,547729394;0,135153378;-0,09780721;-1,633166069
8,327163835;5,961016907;5,306834699;4,735213348;4,446160614;3,226827104;2,490995385;1,772221084;0,547729394;0,135153378;-0,09780721
11,531327777;8,327163835;5,961016907;5,306834699;4,735213348;4,446160614;3,226827104;2,490995385;1,772221084;0,547729394;0,135153378
13,65132348;11,531327777;8,327163835;5,961016907;5,306834699;4,735213348;4,446160614;3,226827104;2,490995385;1,772221084;0,547729394
14,35579656;13,65132348;11,531327777;8,327163835;5,961016907;5,306834699;4,735213348;4,446160614;3,226827104;2,490995385;1,772221084
14,257578888;14,35579656;13,65132348;11,531327777;8,327163835;5,961016907;5,306834699;4,735213348;4,446160614;3,226827104;2,490995385
