"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
1,95;0,436;-0,603;-1,089;-1,544;-1,555;-1,783;-1,687;-1,566;-1,454;-0,923;-0,873
1,702;1,95;0,436;-0,603;-1,089;-1,544;-1,555;-1,783;-1,687;-1,566;-1,454;-0,923
1,664;1,702;1,95;0,436;-0,603;-1,089;-1,544;-1,555;-1,783;-1,687;-1,566;-1,454
1,362;1,664;1,702;1,95;0,436;-0,603;-1,089;-1,544;-1,555;-1,783;-1,687;-1,566
1,259;1,362;1,664;1,702;1,95;0,436;-0,603;-1,089;-1,544;-1,555;-1,783;-1,687
-0,18;1,259;1,362;1,664;1,702;1,95;0,436;-0,603;-1,089;-1,544;-1,555;-1,783
-1,739;-0,18;1,259;1,362;1,664;1,702;1,95;0,436;-0,603;-1,089;-1,544;-1,555
-1,187;-1,739;-0,18;1,259;1,362;1,664;1,702;1,95;0,436;-0,603;-1,089;-1,544
-0,592;-1,187;-1,739;-0,18;1,259;1,362;1,664;1,702;1,95;0,436;-0,603;-1,089
-0,276;-0,592;-1,187;-1,739;-0,18;1,259;1,362;1,664;1,702;1,95;0,436;-0,603
-0,139;-0,276;-0,592;-1,187;-1,739;-0,18;1,259;1,362;1,664;1,702;1,95;0,436
0,323;-0,139;-0,276;-0,592;-1,187;-1,739;-0,18;1,259;1,362;1,664;1,702;1,95
0,697;0,323;-0,139;-0,276;-0,592;-1,187;-1,739;-0,18;1,259;1,362;1,664;1,702
0,646;0,697;0,323;-0,139;-0,276;-0,592;-1,187;-1,739;-0,18;1,259;1,362;1,664
0,847;0,646;0,697;0,323;-0,139;-0,276;-0,592;-1,187;-1,739;-0,18;1,259;1,362
1,446;0,847;0,646;0,697;0,323;-0,139;-0,276;-0,592;-1,187;-1,739;-0,18;1,259
2,048;1,446;0,847;0,646;0,697;0,323;-0,139;-0,276;-0,592;-1,187;-1,739;-0,18
2,112;2,048;1,446;0,847;0,646;0,697;0,323;-0,139;-0,276;-0,592;-1,187;-1,739
2,367;2,112;2,048;1,446;0,847;0,646;0,697;0,323;-0,139;-0,276;-0,592;-1,187
2,357;2,367;2,112;2,048;1,446;0,847;0,646;0,697;0,323;-0,139;-0,276;-0,592
1,816;2,357;2,367;2,112;2,048;1,446;0,847;0,646;0,697;0,323;-0,139;-0,276
0,895;1,816;2,357;2,367;2,112;2,048;1,446;0,847;0,646;0,697;0,323;-0,139
0,381;0,895;1,816;2,357;2,367;2,112;2,048;1,446;0,847;0,646;0,697;0,323
0,805;0,381;0,895;1,816;2,357;2,367;2,112;2,048;1,446;0,847;0,646;0,697
0,726;0,805;0,381;0,895;1,816;2,357;2,367;2,112;2,048;1,446;0,847;0,646
1,009;0,726;0,805;0,381;0,895;1,816;2,357;2,367;2,112;2,048;1,446;0,847
1,767;1,009;0,726;0,805;0,381;0,895;1,816;2,357;2,367;2,112;2,048;1,446
3,141;1,767;1,009;0,726;0,805;0,381;0,895;1,816;2,357;2,367;2,112;2,048
3,733;3,141;1,767;1,009;0,726;0,805;0,381;0,895;1,816;2,357;2,367;2,112
3,646;3,733;3,141;1,767;1,009;0,726;0,805;0,381;0,895;1,816;2,357;2,367
3,887;3,646;3,733;3,141;1,767;1,009;0,726;0,805;0,381;0,895;1,816;2,357
4,037;3,887;3,646;3,733;3,141;1,767;1,009;0,726;0,805;0,381;0,895;1,816
4,06;4,037;3,887;3,646;3,733;3,141;1,767;1,009;0,726;0,805;0,381;0,895
3,685;4,06;4,037;3,887;3,646;3,733;3,141;1,767;1,009;0,726;0,805;0,381
3,423;3,685;4,06;4,037;3,887;3,646;3,733;3,141;1,767;1,009;0,726;0,805
3,65;3,423;3,685;4,06;4,037;3,887;3,646;3,733;3,141;1,767;1,009;0,726
3,554;3,65;3,423;3,685;4,06;4,037;3,887;3,646;3,733;3,141;1,767;1,009
3,659;3,554;3,65;3,423;3,685;4,06;4,037;3,887;3,646;3,733;3,141;1,767
3,461;3,659;3,554;3,65;3,423;3,685;4,06;4,037;3,887;3,646;3,733;3,141
3,207;3,461;3,659;3,554;3,65;3,423;3,685;4,06;4,037;3,887;3,646;3,733
3,408;3,207;3,461;3,659;3,554;3,65;3,423;3,685;4,06;4,037;3,887;3,646
3,836;3,408;3,207;3,461;3,659;3,554;3,65;3,423;3,685;4,06;4,037;3,887
4,28;3,836;3,408;3,207;3,461;3,659;3,554;3,65;3,423;3,685;4,06;4,037
4,439;4,28;3,836;3,408;3,207;3,461;3,659;3,554;3,65;3,423;3,685;4,06
4,183;4,439;4,28;3,836;3,408;3,207;3,461;3,659;3,554;3,65;3,423;3,685
3,818;4,183;4,439;4,28;3,836;3,408;3,207;3,461;3,659;3,554;3,65;3,423
3,644;3,818;4,183;4,439;4,28;3,836;3,408;3,207;3,461;3,659;3,554;3,65
3,509;3,644;3,818;4,183;4,439;4,28;3,836;3,408;3,207;3,461;3,659;3,554
3,222;3,509;3,644;3,818;4,183;4,439;4,28;3,836;3,408;3,207;3,461;3,659
3,124;3,222;3,509;3,644;3,818;4,183;4,439;4,28;3,836;3,408;3,207;3,461
3,19;3,124;3,222;3,509;3,644;3,818;4,183;4,439;4,28;3,836;3,408;3,207
3,267;3,19;3,124;3,222;3,509;3,644;3,818;4,183;4,439;4,28;3,836;3,408
3,051;3,267;3,19;3,124;3,222;3,509;3,644;3,818;4,183;4,439;4,28;3,836
2,783;3,051;3,267;3,19;3,124;3,222;3,509;3,644;3,818;4,183;4,439;4,28
2,57;2,783;3,051;3,267;3,19;3,124;3,222;3,509;3,644;3,818;4,183;4,439
2,096;2,57;2,783;3,051;3,267;3,19;3,124;3,222;3,509;3,644;3,818;4,183
1,511;2,096;2,57;2,783;3,051;3,267;3,19;3,124;3,222;3,509;3,644;3,818
1,322;1,511;2,096;2,57;2,783;3,051;3,267;3,19;3,124;3,222;3,509;3,644
1,077;1,322;1,511;2,096;2,57;2,783;3,051;3,267;3,19;3,124;3,222;3,509
0,402;1,077;1,322;1,511;2,096;2,57;2,783;3,051;3,267;3,19;3,124;3,222
-0,481;0,402;1,077;1,322;1,511;2,096;2,57;2,783;3,051;3,267;3,19;3,124
-1,216;-0,481;0,402;1,077;1,322;1,511;2,096;2,57;2,783;3,051;3,267;3,19
-1,547;-1,216;-0,481;0,402;1,077;1,322;1,511;2,096;2,57;2,783;3,051;3,267
-1,201;-1,547;-1,216;-0,481;0,402;1,077;1,322;1,511;2,096;2,57;2,783;3,051
-1,29;-1,201;-1,547;-1,216;-0,481;0,402;1,077;1,322;1,511;2,096;2,57;2,783
-1,078;-1,29;-1,201;-1,547;-1,216;-0,481;0,402;1,077;1,322;1,511;2,096;2,57
-0,627;-1,078;-1,29;-1,201;-1,547;-1,216;-0,481;0,402;1,077;1,322;1,511;2,096
-0,374;-0,627;-1,078;-1,29;-1,201;-1,547;-1,216;-0,481;0,402;1,077;1,322;1,511
-0,447;-0,374;-0,627;-1,078;-1,29;-1,201;-1,547;-1,216;-0,481;0,402;1,077;1,322
-1,262;-0,447;-0,374;-0,627;-1,078;-1,29;-1,201;-1,547;-1,216;-0,481;0,402;1,077
-1,608;-1,262;-0,447;-0,374;-0,627;-1,078;-1,29;-1,201;-1,547;-1,216;-0,481;0,402
-1,831;-1,608;-1,262;-0,447;-0,374;-0,627;-1,078;-1,29;-1,201;-1,547;-1,216;-0,481
-2,39;-1,831;-1,608;-1,262;-0,447;-0,374;-0,627;-1,078;-1,29;-1,201;-1,547;-1,216
-2,745;-2,39;-1,831;-1,608;-1,262;-0,447;-0,374;-0,627;-1,078;-1,29;-1,201;-1,547
-2,404;-2,745;-2,39;-1,831;-1,608;-1,262;-0,447;-0,374;-0,627;-1,078;-1,29;-1,201
-1,555;-2,404;-2,745;-2,39;-1,831;-1,608;-1,262;-0,447;-0,374;-0,627;-1,078;-1,29
-0,897;-1,555;-2,404;-2,745;-2,39;-1,831;-1,608;-1,262;-0,447;-0,374;-0,627;-1,078
-0,402;-0,897;-1,555;-2,404;-2,745;-2,39;-1,831;-1,608;-1,262;-0,447;-0,374;-0,627
