"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
-1,399;-1,266;-0,748;-0,148;0,05;0,267;0,55;1,027;1,055;0,961;1,069;1,515
-0,453;-1,399;-1,266;-0,748;-0,148;0,05;0,267;0,55;1,027;1,055;0,961;1,069
-0,024;-0,453;-1,399;-1,266;-0,748;-0,148;0,05;0,267;0,55;1,027;1,055;0,961
0,321;-0,024;-0,453;-1,399;-1,266;-0,748;-0,148;0,05;0,267;0,55;1,027;1,055
-0,174;0,321;-0,024;-0,453;-1,399;-1,266;-0,748;-0,148;0,05;0,267;0,55;1,027
-0,35;-0,174;0,321;-0,024;-0,453;-1,399;-1,266;-0,748;-0,148;0,05;0,267;0,55
-0,768;-0,35;-0,174;0,321;-0,024;-0,453;-1,399;-1,266;-0,748;-0,148;0,05;0,267
-1,088;-0,768;-0,35;-0,174;0,321;-0,024;-0,453;-1,399;-1,266;-0,748;-0,148;0,05
-1,258;-1,088;-0,768;-0,35;-0,174;0,321;-0,024;-0,453;-1,399;-1,266;-0,748;-0,148
-1,063;-1,258;-1,088;-0,768;-0,35;-0,174;0,321;-0,024;-0,453;-1,399;-1,266;-0,748
-1,302;-1,063;-1,258;-1,088;-0,768;-0,35;-0,174;0,321;-0,024;-0,453;-1,399;-1,266
-1,487;-1,302;-1,063;-1,258;-1,088;-0,768;-0,35;-0,174;0,321;-0,024;-0,453;-1,399
-1,341;-1,487;-1,302;-1,063;-1,258;-1,088;-0,768;-0,35;-0,174;0,321;-0,024;-0,453
-0,253;-1,341;-1,487;-1,302;-1,063;-1,258;-1,088;-0,768;-0,35;-0,174;0,321;-0,024
0,59;-0,253;-1,341;-1,487;-1,302;-1,063;-1,258;-1,088;-0,768;-0,35;-0,174;0,321
0,939;0,59;-0,253;-1,341;-1,487;-1,302;-1,063;-1,258;-1,088;-0,768;-0,35;-0,174
0,403;0,939;0,59;-0,253;-1,341;-1,487;-1,302;-1,063;-1,258;-1,088;-0,768;-0,35
0,049;0,403;0,939;0,59;-0,253;-1,341;-1,487;-1,302;-1,063;-1,258;-1,088;-0,768
-0,616;0,049;0,403;0,939;0,59;-0,253;-1,341;-1,487;-1,302;-1,063;-1,258;-1,088
-0,848;-0,616;0,049;0,403;0,939;0,59;-0,253;-1,341;-1,487;-1,302;-1,063;-1,258
-1,267;-0,848;-0,616;0,049;0,403;0,939;0,59;-0,253;-1,341;-1,487;-1,302;-1,063
-1,076;-1,267;-0,848;-0,616;0,049;0,403;0,939;0,59;-0,253;-1,341;-1,487;-1,302
-1,281;-1,076;-1,267;-0,848;-0,616;0,049;0,403;0,939;0,59;-0,253;-1,341;-1,487
-0,888;-1,281;-1,076;-1,267;-0,848;-0,616;0,049;0,403;0,939;0,59;-0,253;-1,341
-0,977;-0,888;-1,281;-1,076;-1,267;-0,848;-0,616;0,049;0,403;0,939;0,59;-0,253
-0,375;-0,977;-0,888;-1,281;-1,076;-1,267;-0,848;-0,616;0,049;0,403;0,939;0,59
-0,699;-0,375;-0,977;-0,888;-1,281;-1,076;-1,267;-0,848;-0,616;0,049;0,403;0,939
-1,114;-0,699;-0,375;-0,977;-0,888;-1,281;-1,076;-1,267;-0,848;-0,616;0,049;0,403
-1,808;-1,114;-0,699;-0,375;-0,977;-0,888;-1,281;-1,076;-1,267;-0,848;-0,616;0,049
