Period;YA;YN;YM;YS;YW
1988M10;-0,357910799;2,24289879;-0,736060087;1,381697691;-0,121806339
1988M11;0,332509215;1,542349029;-0,99459919;-0,160966033;3,355502073
1988M12;0,206587916;0,699388204;-0,850620145;0,117345361;-0,646001364
1989M01;-0,876689012;1,971416849;-0,472721294;1,173262469;-4,4060983
1989M02;-0,695014959;1,344083167;0,751077332;-0,098783649;-0,674745989
1989M03;-1,511501491;0,110113712;1,072128184;-0,836083835;-1,338097323
1989M04;-2,877897444;0,853306712;0,66475404;0,020506634;-5,376897575
1989M05;-1,302288331;0,773622843;1,039446857;0,108424314;-2,48746434
1989M06;-0,509027797;2,084385145;0,647139459;-0,647563242;-0,06316321
1989M07;-0,2874365;3,132811362;-0,171825368;-1,622716676;1,550761296
1989M08;0,813704322;0,367359445;0,816652584;-1,772971198;4,433846771
1989M09;0,104641479;-0,608105571;1,173647525;0,488806766;-0,642504519
1989M10;-0,771442059;1,554190789;0,144844793;2,403376114;-3,169581283
1989M11;-0,366146634;1,207048677;0,474140422;0,649491754;4,576965458
1989M12;-0,670895129;0,202065094;0,736937405;-0,818626519;3,107261143
1990M01;-3,126025449;3,297710317;-0,838996301;0,733822239;-5,635801677
1990M02;-2,137918704;3,943892042;-0,944762615;1,231749558;-2,47845775
1990M03;-2,122551187;2,342060053;1,052428396;-0,062210947;3,342620376
1990M04;-1,111518513;3,690099526;1,880674135;-1,06496281;3,937540162
1990M05;-0,613953622;4,637325663;0,402557841;0,078308726;0,983297694
1990M06;-1,473003858;4,203768341;-1,224124455;1,022095747;1,082924273
1990M07;-0,845773938;3,544620511;-0,369011862;-0,138907238;4,048432826
1990M08;-3,247242391;2,919212691;1,473777941;-0,398495265;-0,61027954
1990M09;-3,226115789;3,431184632;0,60514044;1,129314183;-6,598576103
1990M10;-3,285390299;4,879997661;-0,272836213;1,958344433;-4,333965004
1990M11;-1,331980554;4,446736494;0,429511768;-0,451891934;4,359831457
1990M12;-0,703748991;2,653096138;0,53102008;-1,625574233;1,590288541
1991M01;-1,738899947;2,787706357;0,621574176;0,037936715;-5,312805416
1991M02;-0,435161957;2,405426182;1,651450237;-0,133211041;0,774324825
1991M03;-0,354752923;1,83664731;1,589061003;-1,537123952;5,780278691
1991M04;-0,886779098;3,780449556;0,102654048;-1,039728432;-0,15623859
1991M05;-1,677580542;3,695220504;-0,724268615;0,329021905;-4,399418894
1991M06;-0,846622962;2,294874351;-0,274292582;0,130752216;0,704836651
1991M07;-1,048445092;2,835193646;0,743076465;0,07826047;2,415499309
1991M08;-1,406545505;3,114469811;1,117052709;0,624225771;-1,415069724
1991M09;-1,301319458;3,234185423;-0,099652481;0,048690937;-1,31463958
1991M10;-0,109525662;2,956180775;0,181547918;-0,403120383;2,838629214
1991M11;-0,030472307;1,873402156;1,293200665;-0,088633739;2,135563883
1991M12;-0,018600881;0,737848448;0,237294207;-0,573370313;-0,444759778
1992M01;0,703382961;0,256084009;-0,929694104;-1,125314915;1,606456123
1992M02;0,197163301;0,37089398;-0,214319095;0,061096546;1,678358774
1992M03;-0,411517262;2,163119833;0,569085395;1,09071252;-1,042758413
1992M04;-1,475502953;3,659496208;0,808856893;0,509564588;-0,730683447
1992M05;-1,294010886;2,565669257;1,298598912;0,064431851;1,622155678
1992M06;-1,20372977;3,701870778;0,865967472;0,414551355;-0,85125292
1992M07;-0,951951977;4,507205431;-0,004144891;-0,377603489;-2,353918545
1992M08;0,454191708;1,259641934;0,425756142;-1,296929035;2,896771274
1992M09;0,358219005;0,221204072;0,708682673;-0,405073519;2,880117314
1992M10;-0,679233559;1,533864609;0,390853896;0,134224484;-0,798653445
1992M11;-0,343453246;1,588042425;0,515848632;-0,420419819;1,723642058
1992M12;-0,779347569;2,594492996;1,143342014;0,580554154;2,151831638
1993M01;-1,351200965;4,692159326;1,342999262;1,204103479;-0,845146644
1993M02;-0,74597899;3,777993884;0,146123504;-0,295656808;-0,588763532
1993M03;-0,471827194;1,786884765;-0,750159295;-1,042342683;0,348496767
1993M04;-0,191939665;2,539326124;0,505700598;-0,089540367;0,068397843
1993M05;-0,17857232;2,372226;2,214372302;0,075417268;1,788127543
1993M06;0,687322623;0,82098568;1,890040096;-1,144144245;3,970111121
1993M07;-0,086611443;1,372907661;0,512835781;-0,562135287;1,251114051
1993M08;-0,217377516;3,031228596;0,796606878;0,072545422;1,283924238
1993M09;0,121734436;3,233394325;1,09020605;-0,371451809;2,819398759
1993M10;-0,661694715;1,410729524;-1,007073688;0,718116134;-0,258722465
1993M11;0,074722572;0,665529134;-1,007883007;0,588671358;-0,052609782
1993M12;0,685483152;2,03242926;2,46058636;-0,793262527;4,233998489
1994M01;0,665210291;2,889078056;3,243340893;-0,839052906;3,853915327
1994M02;0,008502028;2,567964629;0,198458382;-0,417689933;-1,512242099
1994M03;-0,135449828;1,871581168;-1,312954353;-0,306451493;-0,612501463
1994M04;0,632429093;0,931944926;-0,335542144;-0,563683002;6,159972343
1994M05;0,637427675;-0,151210133;0,26501895;-0,735381189;5,272055351
1994M06;0,012870964;0,099919467;0,531443261;-0,093732524;-1,210373628
1994M07;-0,568422328;0,906245661;0,246695655;0,675760368;-2,220957703
1994M08;-0,599048061;1,421061332;-0,509345448;0,159732026;1,829387185
1994M09;-0,287456979;2,221577449;0,459868612;-0,565165916;2,44099085
1994M10;-0,317667806;2,930433083;1,528155086;-0,584515759;-0,563803187
1994M11;-0,217363628;2,547375555;0,642476617;-0,674283809;0,180445668
1994M12;0,458229362;1,063714767;-0,219786345;-0,494125362;2,318645246
1995M01;-0,13054249;0,393909228;0,195116782;-0,038780605;1,193053326
1995M02;-0,473038572;0,09921433;0,59388307;0,121007356;0,273379711
1995M03;-0,881883765;0,070126185;0,54888727;0,375661357;-0,522887873
1995M04;-1,280409858;1,104769323;0,814110507;0,243443513;-1,44281045
1995M05;-0,662927794;2,083729479;0,693904945;-0,285968733;-0,917155644
1995M06;-0,229763732;3,055333906;0,252617531;-0,57364274;-0,305582719
1995M07;0,07169622;2,450697897;0,664073017;-0,613313457;-0,138417039
1995M08;-0,174605856;0,679267144;1,371534944;-0,971787496;0,479470746
1995M09;0,298742046;0,431923364;0,983639037;-0,533479283;0,166237016
1995M10;-0,709288663;1,231850992;-0,05965563;0,240200501;-0,529139977
1995M11;0,346699361;0,750933991;0,322876911;-0,511250978;1,442192343
1995M12;-0,390587355;0,673538755;0,402787261;-0,533315534;-0,975896835
1996M01;-0,318945265;1,074967032;-0,503885145;0,202821622;-1,097314255
1996M02;0,005060278;0,579654177;0,267526558;-0,041185525;2,312011718
1996M03;-0,393781124;0,880089372;1,90518074;-0,413283265;0,303883581
1996M04;-0,170316146;1,68246378;1,508498569;-0,20152605;-2,05404966
1996M05;0,475075098;0,323058718;-0,477748224;-0,056032476;0,625854564
1996M06;1,028456555;-0,950087962;-1,138854104;-0,48884386;1,431631196
1996M07;-0,180612473;0,490446069;-0,15677723;-0,279728891;-1,517531087
1996M08;-0,007769777;1,349611258;0,455128838;0,118001489;0,043950813
1996M09;-0,804622757;0,633078573;0,295073578;0,056824635;-0,272510556
1996M10;-0,877329073;0,742308522;0,433122401;-0,193842001;-2,790636665
1996M11;-0,598029162;0,618495963;0,768605078;-0,248566128;-0,703520681
1996M12;-0,258734426;-0,190705655;0,764349509;-0,172649261;2,026057342
1997M01;0,04520077;0,319136693;0,439315418;-0,335897386;0,162813944
1997M02;-0,097931688;1,132359757;-0,087553839;-0,449580406;-2,559240772
1997M03;0,378990576;0,803114147;-0,06036332;-0,509354527;-0,76446949
1997M04;0,044944364;-0,381798467;0,610308495;-0,491349567;1,759599439
1997M05;0,389286492;-0,651322535;0,751730555;-0,030499792;0,273376501
1997M06;-0,575323553;0,404971586;0,595246218;0,439855222;-2,416722122
1997M07;-0,252727829;0,784252953;0,801614908;-0,289340252;0,146706289
1997M08;-0,111866267;1,191729252;0,338432602;-0,927083482;1,170652369
1997M09;-0,304948123;0,983914922;-0,73033489;-0,16571775;-1,961500732
