CCV1;CCV2;CCV3;CCV4;CCV5;CCV6;CCV7;CCV8;CCV9;CCV10
7,181387626;8,846337017;9,380519756;0,46301505;220,3252137;8692,132899;4,1229707;4,208100128;4,415626391;5,358030878
7,429339627;9,60681902;6,61932119;0,366930198;340,31908;4937,383706;5,419116328;5,461762266;5,710793188;4,677792247
6,978401395;9,354554605;5,832473691;0,417619299;722,9755271;3239,356186;6,926449942;7,007619972;7,205608347;4,791824543
6,392741282;8,856688994;5,388713243;0,384998207;2163,400988;2897,123577;6,619442998;6,522436519;6,821829414;4,157889828
5,98432833;8,619610082;4,701943667;0,443036838;3269,522461;2845,046361;3,435116869;3,060177513;2,426570345;5,050499555
6,660004768;9,045183672;5,523464767;0,372628951;2746,964089;2844,439629;2,052740019;1,868941494;1,312964931;4,608138594
7,296170091;9,510763281;6,330956572;0,416259737;1089,985161;3508,603893;1,994914785;1,912534164;1,410479036;4,096575201
6,423527649;9,431937316;4,62730248;0,465956766;404,8825319;3190,775062;1,187031188;1,017376247;2,999518889;6,869117174
6,362720996;8,655034763;6,628930318;0,445122197;210,7187273;4464,485398;1,212161969;1,130416285;1,315996963;4,379656771
24,76071856;20,98219288;28,78930236;0,437617352;291,6860196;44757,81661;1,647054995;1,59616344;1,917839735;4,651027996
9,93400554;11,64737675;9,433435192;0,375423071;195,3752844;8904,207495;1,503490578;1,393384016;1,661812911;4,106127723
16,30745302;15,60625138;17,78857575;0,405957455;184,6779562;16523,87434;1,277752059;1,165524904;1,378791652;4,218285863
9,829926643;11,67827776;8,857035269;0,396056756;289,0064707;13945,70082;19,97925537;1,939724408;2,96759249;4,844258594
11,46953249;13,77106576;8,912304866;0,466276121;435,3639192;10626,7613;29,29202158;6,548329039;14,51866288;9,118667852
7,416827005;10,00632003;6,0205175;0,387154658;484,1526077;4700,314218;32,41724404;9,539757746;24,4786405;5,72760008
6,023974954;8,722590885;5,049610237;0,407103204;1283,67817;3161,308924;29,72112836;9,4860411;25,89150261;4,327295475
5,920710589;8,660853382;4,539096088;0,391056292;773,1080823;2874,984969;30,19534983;32,81778956;30,1554964;4,887634356
6,823973715;9,010348429;6,172996881;0,416842439;1932,96307;2908,882096;9,157098341;19,51603556;14,28555531;4,56667051
5,9193511;8,84252062;4,737520507;0,473554307;362,7654822;2983,915996;3,648384668;1,807377884;1,469895158;6,817893493
5,843498956;8,774441012;4,418650455;0,373309289;204,8107073;3011,412198;4,858505035;5,118153249;5,323909103;4,557074199
6,734344726;10,04579206;4,517493696;0,442441849;534,490952;4747,087372;2,445423266;2,092013509;2,576281405;4,972784625
13,61797936;11,93552908;19,98603646;0,450621873;332,8728576;33883,45417;3,679979918;3,753822883;3,997241707;4,741747029
22,95882921;20,57078297;24,67356968;0,368647183;235,38361;28080,21553;3,358058732;3,231524537;3,774660027;4,09684174
13,81709492;12,95371815;18,59536527;0,447896128;213,6377792;8875,38224;1,831027901;1,602156569;1,997726132;4,814235472
8,499277832;10,91268077;7,041499813;0,38820355;215,3357988;3645,816276;4,836571161;3,583611969;7,509676318;5,437756693
6,662937045;9,415658804;5,035221889;0,405088909;205,2104761;3587,010047;5,61276529;1,806410458;2,873351572;4,571662721
6,097602553;8,89220059;4,547510603;0,403178926;204,1685985;2912,544391;6,888077297;1,130799472;1,276691374;4,829601662
6,952372027;8,928980597;7,083695111;0,404730699;1443,927209;3021,167296;6,632013312;1,0860128;1,464115332;4,226438089
5,968914331;8,729775533;4,678921131;0,391461702;1104,243507;2876,571277;6,773423403;7,406265154;1,98677988;4,324925993
5,853569579;8,538849712;4,552728017;0,39883237;306,9775396;2842,424782;1,334976112;5,146938947;1,41502564;4,097884728
5,933527966;8,444234856;5,657646242;0,420258502;585,336827;2859,083229;2,051322498;1,570453407;1,589537776;4,708613609
5,77160221;8,432153755;4,58091121;0,393637232;512,1785582;2948,362027;1,508410144;1,415600908;1,656396202;4,207918119
6,515117197;9,199530353;4,928381315;0,423266642;218,0635733;3859,065186;1,163814909;1,038093661;1,352232268;4,81864159
13,06089685;10,7812244;22,38399375;0,403917897;223,5699395;15508,44046;1,174170236;1,086223547;1,364964444;4,144638101
9,262211711;11,50534714;7,796042141;0,430361506;188,3662612;6383,107453;1,58769701;1,538877399;1,92019123;5,050545031
6,72889833;9,332579853;5,466390091;0,396193188;188,4395893;3291,294834;1,161394892;1,022954489;1,325317085;4,725523332
