CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10
-0,43;-1,56;0,67;1,63;12;-9;0,72;0,72;1,37;4,75
1,79;1,83;1,71;-0,12;12;-3;0,37;0,37;0,37;-0,82
0,63;0,16;1,06;0,63;35;-4;0,96;0,96;0,96;1,87
0,7;1,55;-0,16;-0,72;23;-2;0,2;0,2;0,11;-1,98
2,34;3,04;1,62;-0,52;41;-26;-0,58;-0,58;-1,65;-2,27
0,31;-0,29;0,91;0,48;2;8;-0,15;-0,15;-0,69;1,11
5,35;4,93;5,74;1,22;18;-172;0,65;0,65;0,66;2,34
1,85;2,72;0,99;1,48;15;-127;2,08;2,08;2,08;4,51
-0,86;-1,41;-0,3;0,21;-2;-19;3,75;2,48;2,81;1,83
6,48;6,41;6,53;0,19;4;-243;-0,02;2,07;2,31;-0,45
2,11;1,71;2,48;0,79;5;-137;0,58;3,47;2,76;1,77
-0,05;-0,27;0,18;0,17;-11;11;0,17;3,28;2,52;0,51
-0,51;-0,04;-0,97;-1,37;-29;33;-1,07;0,87;0,55;-3,65
0,39;1,28;-0,47;-1,07;16;-4;-2,4;-0,3;-1,45;-3,25
1,3;1,95;0,69;-0,31;48;-1;-3,05;-1,17;-2,51;-2,7
0,58;0,03;1,13;1,06;48;-5;-2,08;-0,39;-0,96;1,99
-1,42;-1,91;-0,9;0,61;-4;7;-1,16;0,35;0,75;2,09
0,48;0,79;0,18;-0,51;9;-31;-1,55;-0,19;-0,41;-1,52
3,37;4,34;2,4;-1,6;-4;-25;-3,27;-3,27;-3,27;-5,61
-5,71;-5,42;-5,98;-1,34;-9;207;-4,9;-4,9;-4,9;-5,9
1,35;0,92;1,76;1,2;9;-106;-4,51;-4,51;-3,86;-0,35
1,71;1,33;2,09;0,32;10;-82;-0,61;-3,84;-2,88;0,62
-1,35;-1,66;-1,03;-0,33;-4;96;-0,75;-3,64;-2,93;-0,58
0,61;0,31;0,88;0,5;13;-64;0,41;-1,76;-1,3;1,22
0,24;0,76;-0,29;0,29;8;4;0,6;-1,34;-1,02;0,72
